Program				<程序>
SemiProgram			<分程序>
ConstIllu			<常量说明部分>
ConstDec			<常量定义>
ConstVal			<常量>
//CharVal				<字符>
//StringVal			<字符串>
//IntVal				<无符号整数>
//Ident				<标识符>
VarIllu				<变量说明部分>
VarDec				<变量说明>
Type				<类型>
//BasicType			<基本类型>
ProcIllu			<过程说明部分>
FuncIllu			<函数说明部分>
ProcHead			<过程首部>
FuncHead			<函数首部>
ParaTable			<形式参数表>
ParaSegement		<形式参数段>
Sentence			<语句>
SetSentence			<赋值语句>
//FuncIdent			<函数标识符>
Expression			<表达式>
Term				<项>
Factor				<因子>
FuncSentence		<函数调用语句>
RealParaTable		<实在参数表>
RealPara			<实在参数>
//AddOp				<加法运算符>
//MultOp				<乘法运算符>
Condition			<条件>
//CmpOp				<关系运算符>
ConditionSentence	<条件语句>
WhileSentence		<当循环语句>
ForSentence			<for循环语句>
ProcSentence		<过程调用语句>
ComplexSentence		<复合语句>
ReadSentence		<读语句>
WriteSentence		<写语句>
//Letter				<字母>
//Number				<数字>
